14/6/2021:1:30:57 | ::1 | GET | /product/category | 200 | [{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"},{"id":"3","name":"T-Shirt","image":"image.jpg","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-05T05:49:39.133Z"}]
14/6/2021:1:32:49 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
14/6/2021:1:33:18 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
14/6/2021:1:33:58 | ::1 | GET | /product/category | 200 | [{"id":"3","name":"T-Shirt","image":"public/images/category/2021-07-13T18:33:18.873Z-Group 1244.png","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-13T18:33:18.886Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"},{"id":"4","name":"Shorts","image":"image.jpg","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-05T05:50:56.986Z"}]
14/6/2021:1:35:42 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
14/6/2021:1:36:48 | ::1 | GET | /product/category | 200 | [{"id":"4","name":"Accessories","image":"public/images/category/2021-07-13T18:35:42.190Z-Group 1245.png","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-13T18:35:42.202Z"},{"id":"3","name":"T-Shirt","image":"public/images/category/2021-07-13T18:33:18.873Z-Group 1244.png","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-13T18:33:18.886Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"},{"id":"5","name":"Jacket","image":"image.jpg","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-05T05:51:20.717Z"}]
14/6/2021:1:38:28 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
14/6/2021:1:38:32 | ::1 | GET | /product/category | 200 | [{"id":"5","name":"Dress","image":"public/images/category/2021-07-13T18:38:28.022Z-Group 1243.png","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-13T18:38:28.056Z"},{"id":"4","name":"Accessories","image":"public/images/category/2021-07-13T18:35:42.190Z-Group 1245.png","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-13T18:35:42.202Z"},{"id":"3","name":"T-Shirt","image":"public/images/category/2021-07-13T18:33:18.873Z-Group 1244.png","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-13T18:33:18.886Z"},{"id":"6","name":"Pants","image":"image.jpg","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-05T05:51:36.831Z"}]
14/6/2021:1:43:10 | ::1 | PUT | /product/category | 200 | {"message":"Data successfully changed"}
14/6/2021:1:43:47 | ::1 | POST | /product/category | 200 | {"message":"New data successfully added"}
14/6/2021:1:43:52 | ::1 | GET | /product/category | 200 | [{"id":"36","name":"Shoes","image":"public/images/category/2021-07-13T18:43:47.989Z-Group 1229.png","create_at":"2021-07-13T18:43:48.198Z","update_at":"2021-07-13T18:43:48.198Z"},{"id":"6","name":"Pants","image":"public/images/category/2021-07-13T18:43:11.154Z-Group 1230.png","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-13T18:43:12.304Z"},{"id":"5","name":"Dress","image":"public/images/category/2021-07-13T18:38:28.022Z-Group 1243.png","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-13T18:38:28.056Z"},{"id":"4","name":"Accessories","image":"public/images/category/2021-07-13T18:35:42.190Z-Group 1245.png","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-13T18:35:42.202Z"},{"id":"3","name":"T-Shirt","image":"public/images/category/2021-07-13T18:33:18.873Z-Group 1244.png","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-13T18:33:18.886Z"}]
14/6/2021:1:58:36 | ::1 | POST | /reset-password | 200 | "jwt must be provided"
14/6/2021:5:33:01 | ::1 | POST | /reset-password | 200 | "editPassword is not a function"
14/6/2021:5:34:06 | ::1 | POST | /reset-password | 200 | "syntax error at or near \")\""
14/6/2021:5:34:46 | ::1 | POST | /reset-password | 200 | {"message":"login berhasil!","token_key":[]}
14/6/2021:5:36:35 | ::1 | POST | /login | 200 | {"message":"error login gagal!"}
14/6/2021:5:36:42 | ::1 | POST | /login | 200 | {"message":"error login gagal!"}
14/6/2021:5:36:55 | ::1 | POST | /login | 200 | {"message":"error login gagal!"}
14/6/2021:5:37:16 | ::1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidXNlckBnbWFpbC5jb20iLCJyb2xlcyI6InVzZXIiLCJpYXQiOjE2MjYyMTU4MzYsImV4cCI6MTYyNjMwMjIzNn0.yK2jrmdayPcj5DrL89U8a6zo_tza73m_pbsdAi3ZIDw"}
14/6/2021:5:41:51 | ::1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoiZ3VzdGlhbmE4ODJAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNjIxNjExMSwiZXhwIjoxNjI2MzAyNTExfQ.J068OeA8F1wSZGaQQleOIgtfjmRtK87A1VB3IFAQY9o"}
14/6/2021:5:42:18 | ::1 | POST | /reset-password | 200 | {"message":"error password wrong!"}
14/6/2021:5:43:16 | ::1 | POST | /reset-password | 200 | "Cannot read property 'password' of undefined"
14/6/2021:5:43:31 | ::1 | POST | /reset-password | 200 | "Cannot read property 'password' of undefined"
14/6/2021:5:44:14 | ::1 | POST | /reset-password | 200 | {"message":"error password wrong!"}
14/6/2021:5:45:41 | ::1 | POST | /reset-password | 200 | {"message":"edit password success"}
14/6/2021:5:45:52 | ::1 | POST | /reset-password | 200 | {"message":"edit password success"}
14/6/2021:5:45:58 | ::1 | POST | /login | 200 | {"message":"error login gagal!"}
14/6/2021:5:46:03 | ::1 | POST | /login | 200 | {"message":"login berhasil!","token_key":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoiZ3VzdGlhbmE4ODJAZ21haWwuY29tIiwicm9sZXMiOiJhZG1pbiIsImlhdCI6MTYyNjIxNjM2MywiZXhwIjoxNjI2MzAyNzYzfQ.ITWnx72wgWsHVswjylY2_QQvtNhRqnu-OfgKtm2zfNY"}
14/6/2021:5:46:51 | ::1 | GET | /product/category | 200 | [{"id":"36","name":"Shoes","image":"public/images/category/2021-07-13T18:43:47.989Z-Group 1229.png","create_at":"2021-07-13T18:43:48.198Z","update_at":"2021-07-13T18:43:48.198Z"},{"id":"6","name":"Pants","image":"public/images/category/2021-07-13T18:43:11.154Z-Group 1230.png","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-13T18:43:12.304Z"},{"id":"5","name":"Dress","image":"public/images/category/2021-07-13T18:38:28.022Z-Group 1243.png","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-13T18:38:28.056Z"},{"id":"4","name":"Accessories","image":"public/images/category/2021-07-13T18:35:42.190Z-Group 1245.png","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-13T18:35:42.202Z"},{"id":"3","name":"T-Shirt","image":"public/images/category/2021-07-13T18:33:18.873Z-Group 1244.png","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-13T18:33:18.886Z"}]
14/6/2021:5:48:12 | ::1 | POST | /product | 200 | {"message":"New data successfully added"}
14/6/2021:5:48:25 | ::1 | GET | /product/category | 200 | [{"id":"36","name":"Shoes","image":"public/images/category/2021-07-13T18:43:47.989Z-Group 1229.png","create_at":"2021-07-13T18:43:48.198Z","update_at":"2021-07-13T18:43:48.198Z"},{"id":"6","name":"Pants","image":"public/images/category/2021-07-13T18:43:11.154Z-Group 1230.png","create_at":"2021-07-05T05:51:36.831Z","update_at":"2021-07-13T18:43:12.304Z"},{"id":"5","name":"Dress","image":"public/images/category/2021-07-13T18:38:28.022Z-Group 1243.png","create_at":"2021-07-05T05:51:20.717Z","update_at":"2021-07-13T18:38:28.056Z"},{"id":"4","name":"Accessories","image":"public/images/category/2021-07-13T18:35:42.190Z-Group 1245.png","create_at":"2021-07-05T05:50:56.986Z","update_at":"2021-07-13T18:35:42.202Z"},{"id":"3","name":"T-Shirt","image":"public/images/category/2021-07-13T18:33:18.873Z-Group 1244.png","create_at":"2021-07-05T05:49:39.133Z","update_at":"2021-07-13T18:33:18.886Z"}]
14/6/2021:5:48:35 | ::1 | GET | /product | 200 | [{"id_product":"32","title":"Adidas","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Adidas store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:48:12.101Z-cruzrone-shoe-l6XXkk (2) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:48:12.178Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
14/6/2021:5:49:33 | ::1 | PUT | /product | 200 | {"message":"Data successfully changed"}
14/6/2021:5:49:40 | ::1 | GET | /product | 200 | [{"id_product":"32","title":"Nike","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:49:33.278Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:49:33.301Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
14/6/2021:5:52:12 | ::1 | POST | /product | 200 | {"message":"New data successfully added"}
14/6/2021:5:52:17 | ::1 | GET | /product | 200 | [{"id_product":"33","title":"Baju koko pria putih","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:52:12.444Z-5f9d591f-54e0-4f48-99c8-33e5ab47c871 2.png","create_at":"2021-07-13T22:52:12.502Z","update_at":"2021-07-13T22:52:12.502Z"},{"id_product":"32","title":"Nike","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:49:33.278Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:49:33.301Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
14/6/2021:5:52:33 | ::1 | POST | /product | 200 | {"error":true,"message":"Category ID not found!"}
14/6/2021:5:53:00 | ::1 | GET | /product | 200 | [{"id_product":"33","title":"Baju koko pria putih","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:52:12.444Z-5f9d591f-54e0-4f48-99c8-33e5ab47c871 2.png","create_at":"2021-07-13T22:52:12.502Z","update_at":"2021-07-13T22:52:12.502Z"},{"id_product":"32","title":"Nike","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:49:33.278Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:49:33.301Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
14/6/2021:5:53:45 | ::1 | POST | /product | 200 | {"message":"New data successfully added"}
14/6/2021:5:53:51 | ::1 | GET | /product | 200 | [{"id_product":"34","title":"Baju koko pria biru","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:53:45.639Z-ef0755f4-97be-42d3-a1e9-e3c892b52706 2.png","create_at":"2021-07-13T22:53:45.655Z","update_at":"2021-07-13T22:53:45.655Z"},{"id_product":"33","title":"Baju koko pria putih","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:52:12.444Z-5f9d591f-54e0-4f48-99c8-33e5ab47c871 2.png","create_at":"2021-07-13T22:52:12.502Z","update_at":"2021-07-13T22:52:12.502Z"},{"id_product":"32","title":"Nike","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:49:33.278Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:49:33.301Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
14/6/2021:5:55:07 | ::1 | PUT | /product | 200 | {"message":"Data successfully changed"}
14/6/2021:5:55:11 | ::1 | GET | /product | 200 | [{"id_product":"34","title":"Baju koko pria xl","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:55:07.594Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:53:45.655Z","update_at":"2021-07-13T22:55:07.608Z"},{"id_product":"33","title":"Baju koko pria putih","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"Muslim store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:52:12.444Z-5f9d591f-54e0-4f48-99c8-33e5ab47c871 2.png","create_at":"2021-07-13T22:52:12.502Z","update_at":"2021-07-13T22:52:12.502Z"},{"id_product":"32","title":"Nike","category":[{"id":36,"name":"Shoes"}],"price":100000,"store":"Nike Store","review":21,"star":4,"image":"public/images/product/2021-07-13T22:49:33.278Z-cruzrone-shoe-l6XXkk (1) 1.png","create_at":"2021-07-13T22:48:12.178Z","update_at":"2021-07-13T22:49:33.301Z"},{"id_product":"30","title":"celana","category":[{"id":3,"name":"T-Shirt"}],"price":100000,"store":"toko kami","review":21,"star":4,"image":"public/images/product/2021-07-13T06:14:31.332Z-user.png","create_at":"2021-07-13T06:14:31.492Z","update_at":"2021-07-13T06:14:31.492Z"}]
14/6/2021:5:55:22 | ::1 | PUT | /product | 200 | {"error":true,"message":"Product ID not found!"}
14/6/2021:5:55:50 | ::1 | DELETE | /product/34 | 200 | {"message":"Data deleted successfully"}
